,accel [g],aerodrag,gap [m],lift per assy [N],position [m],time [s],velocity [m/s]
289,-1.55125908037,408.252424788,0.0025,9620.22070738,371.093159371,2.89,106.593969447
290,-1.55128197054,407.087559346,0.0025,9618.97371296,372.158338163,2.9,106.441788686
291,-1.5513053912,405.924340585,0.0025,9617.72669971,373.221995137,2.91,106.289605627
292,-1.55132934239,404.762768181,0.0025,9616.47966722,374.284130268,2.92,106.137420218
293,-1.55135382413,403.602841817,0.0025,9615.23261504,375.344743533,2.93,105.985232408
294,-1.55137883645,402.444561174,0.0025,9613.98554276,376.403834908,2.94,105.833042144
295,-1.5514043794,401.287925938,0.0025,9612.73844994,377.461404368,2.95,105.680849375
296,-1.55143045301,400.132935796,0.0025,9611.49133617,378.517451887,2.96,105.528654047
297,-1.55145705731,398.979590439,0.0025,9610.24420101,379.57197744,2.97,105.37645611
298,-1.55148419234,397.827889557,0.0025,9608.99704403,380.624981,2.98,105.224255511
299,-1.55151185813,396.677832846,0.0025,9607.74986482,381.676462541,2.99,105.072052197
300,-1.55154005473,395.529420001,0.0025,9606.50266294,382.726422035,3.0,104.919846118
301,-1.55156878218,394.382650722,0.0025,9605.25543797,383.774859454,3.01,104.76763722
302,-1.5515980405,393.237524709,0.0025,9604.00818948,384.82177477,3.02,104.615425453
303,-1.55162782975,392.094041665,0.0025,9602.76091705,385.867167953,3.03,104.463210762
304,-1.55165814996,390.952201296,0.0025,9601.51362024,386.911038975,3.04,104.310993098
305,-1.55168900117,389.812003311,0.0025,9600.26629863,387.953387805,3.05,104.158772407
306,-1.55172038343,388.673447417,0.0025,9599.01895179,388.994214413,3.06,104.006548637
307,-1.55175229678,387.536533329,0.0025,9597.7715793,390.033518767,3.07,103.854321737
308,-1.55178474126,386.401260759,0.0025,9596.52418074,391.071300837,3.08,103.702091654
309,-1.55181771692,385.267629426,0.0025,9595.27675566,392.10756059,3.09,103.549858336
